სათაური,ავტორი,ფასი
იზოლაცია,მარიამ ოდიშვილი,GEL 556 
აღარ ვთამაშობ,ანა იაკობაშვილი,"GEL 1,035 "
ჯადოსნური ტყე,დავით ბერიძე,"GEL 2,846 "
სიზმარი,მარი ჩიჯავაძე,"GEL 2,963 "
ბაბუაწვერა,მერაბ ჩაკვეტაძე,"GEL 4,805 "
ტენისის მოთამაშე,მარიამ აქუბარდია,"GEL 1,980 "
სამი სხეული,გურამ ცერცვაძე,"GEL 2,588 "
სიმშვიდე აფეთქების ფონზე,მარიამ აქუბარდია,GEL 802 
უხორცო ოცნება და ცოტა იმედი,ირაკლი მაისურაძე,"GEL 2,218 "
შენი ტკივილი ჩემი (ცაა) და მე (ცა) მტკივა,თემო ჯავახი,"GEL 3,105 "
ქალის პორტრეტი,მალხაზ დათუკიშვილი,"GEL 3,700 "
დაცემული მზე,მაკა მეძმარიაშვილი,"GEL 2,963 "
უსათაუროდ,მარი ჩიჯავაძე,"GEL 2,588 "
ენერგია,ვლადიმერ გობოზოვი,GEL 932 
თოჯინა,ვლადიმერ გობოზოვი,"GEL 1,488 "
სამნი,ზურა გეწაძე,"GEL 3,695 "
"სერიიდან ""უჯრედები""",კოტე ჯინჭარაძე,"GEL 2,225 "
ბრძოლა,ზაზა ციცქიშვილი,"GEL 2,588 "
წყვილები,გელა ზაუტაშვილი,"GEL 5,550 "
ძველი სავარძელი,თემო ჯავახი,"GEL 4,399 "
პატარა სახლი,გურამ ხეცურიანი,"GEL 2,588 "
ოპიუმი,ლემბი,"GEL 3,364 "
მოკლე ბანალური ისტორიები,გელა ზაუტაშვილი,"GEL 3,700 "
სერიიდან „სიმშვიდე შტორმის შემდეგ“,მარიამ აქუბარდია,"GEL 1,591 "
უსათაუროდ,დავით ქუთათელაძე,"GEL 3,700 "
ბრძოლა,ვალერიან სიდამონ-ერისთავი,"GEL 3,700 "
წითელი მდინარე,თემო ჯავახი,"GEL 5,175 "
ეროტიკული მოტივი,პეტრე ბლიოტკინი,"GEL 3,700 "
უსათაუროდ,სერგო ქობულაძე,"GEL 6,663 "
ნიუ,ირაკლი გაბაშვილი,GEL 737 
თეატრის დეკორაცია,ირაკლი გამრეკელი,"GEL 5,550 "
დაფარული,მარიამ ოდიშვილი,GEL 298 
ჩარჩო,მარი ჩიჯავაძე,"GEL 2,225 "
უსათაუროდ,მარიამ ოდიშვილი,"GEL 1,113 "
უსათაუროდ,მიშა შენგელია,"GEL 1,850 "
ცხენი,გიორგი კობიაშვილი,"GEL 2,225 "
უსათაუროდ,დავით ქუთათელაძე,"GEL 4,787 "
აუზი,მარიამ ოდიშვილი,GEL 298 
"სერიიდან ""კატები"" ძველი თბილისი",ირაკლი გაბაშვილი,"GEL 3,700 "
ნატურმორტი,შალვა ძნელაძე,"GEL 3,325 "
"სერიიდან ""კატები"" რამ ტამ ტაგერი",ირაკლი გაბაშვილი,"GEL 3,700 "
ფანჯრები,მარიამ ოდიშვილი,"GEL 2,225 "
იუკი,მარიამ ოდიშვილი,GEL 298 
უსათაუროდ,შალვა ძნელაძე,"GEL 9,238 "
თევზები,დავით ბერიძე,GEL 924 
გურული,შალვა ძნელაძე,"GEL 3,700 "
"სერიიდან ""კატები"" ჯადოსნური",ირაკლი გაბაშვილი,"GEL 2,588 "
პარადის შემდეგ,რენო თურქია,"GEL 6,469 "
გლეხი,შალვა ძნელაძე,"GEL 2,406 "
"სერიიდან ""კატები"" ქალაქის მცველი",ირაკლი გაბაშვილი,"GEL 3,700 "
შესვენება,შალვა ძნელაძე,"GEL 1,850 "
კომპოზიცია #5,ბაჩი ჯინჭარაძე,"GEL 3,700 "
დის პორტრეტი,შალვა ძნელაძე,"GEL 2,225 "
